‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
[18.02.25, 20:32:11] Emmanuel: Hey ruf mal an
[20.02.25, 17:10:09] Phil: schau einfach meinen Code
[22.02.25, 01:36:42] Emmanuel: ‎This message was deleted.
‎[22.02.25, 08:54:28] Emmanuel: ‎video omitted
[22.02.25, 08:59:29] Emmanuel: Hab das noch fertig grcoded gestern
[22.02.25, 08:59:40] Emmanuel: Werd noch loading bar hinzufügen
[22.02.25, 08:59:46] Emmanuel: Dann passt
[22.02.25, 11:27:12] Phil: Junge alter wie geil
[22.02.25, 11:27:35] Phil: Mach gleich weiter mit der Vision dann können wir in Production laden oder?
[22.02.25, 12:38:40] Emmanuel: Giv dir
‎[22.02.25, 12:40:25] Emmanuel: ‎video omitted
[22.02.25, 12:41:20] Phil: alter mega 😅😅
[22.02.25, 12:41:31] Phil: Hab so bock die gleich zu veröffentlichen
‎[22.02.25, 12:43:27] Emmanuel: ‎audio omitted
[22.02.25, 12:43:55] Phil: 💪🏼💪🏼💪🏼
‎[22.02.25, 12:57:09] Emmanuel: ‎audio omitted
[22.02.25, 13:28:30] Emmanuel: Was ist scanlytics? 
Ein AI basierter Texteditor für Radiologen
[22.02.25, 20:19:44] Emmanuel: ‎Voice call. ‎Answered on other device
[22.02.25, 20:22:15] Emmanuel: ‎Voice call. ‎Answered on other device
‎[23.02.25, 09:07:35] Phil: 20210615_Lilium_Analyst Presentation.pdf • ‎51 pages ‎document omitted
‎[23.02.25, 10:48:10] Emmanuel: ‎audio omitted
‎[23.02.25, 10:48:16] Emmanuel: ‎audio omitted
[23.02.25, 10:51:51] Phil: Jo gerne sag bescheid
[23.02.25, 10:51:57] Phil: lass zusammen machen
[23.02.25, 11:04:35] Phil: Obwohl kannst du einfach 5 Beispielpräsis raussuchen?
‎[23.02.25, 11:05:15] Emmanuel: ‎audio omitted
[23.02.25, 11:33:38] Phil: Ok true die App ist wichtiger
[23.02.25, 11:34:11] Phil: Ja einfach mit Google
[23.02.25, 11:34:31] Phil: Lilium investor pitch
[23.02.25, 11:55:13] Phil: https://docs.google.com/presentation/d/1-au8UqDL9XKqxH4R_W5fOARjZ4SfVI8wEWQqCL1P0go/edit
[23.02.25, 11:55:28] Phil: Was hälst du von der Skizze für die Präsi?
‎[23.02.25, 12:07:37] Emmanuel: ‎image omitted
[23.02.25, 12:25:11] Emmanuel: Hey schick mal bitte das Geld Galla 🙏🥺
[23.02.25, 12:37:37] Phil: shared
[23.02.25, 12:37:48] Phil: wie viel Brauchst du?
[23.02.25, 12:54:33] Emmanuel: 35
‎[23.02.25, 12:56:19] Emmanuel: ‎image omitted
[23.02.25, 12:56:26] Emmanuel: Was denkst du
[23.02.25, 12:58:57] Emmanuel: Adjuvant bedeutet unterstützten
‎[23.02.25, 12:59:31] Emmanuel: ‎image omitted
[23.02.25, 12:59:43] Emmanuel: Es braucht ein besseren Liniendiagram
[23.02.25, 13:00:39] Phil: Jo sag erst mal deine ganze Kritik
[23.02.25, 13:00:44] Phil: Ist nur version 0.1
[23.02.25, 13:01:22] Phil: und erst mal grob von Struktur und Reihenfolge
[23.02.25, 13:01:27] Emmanuel: Ok ich mach notes und schreib dir später
[23.02.25, 13:01:51] Phil: Merci
[23.02.25, 18:47:11] Phil: Gib dir mal die Präsi
[23.02.25, 23:46:01] Emmanuel: Gib ich morgen
[23.02.25, 23:46:05] Emmanuel: Bro
‎[24.02.25, 17:42:18] Emmanuel: ‎audio omitted
[24.02.25, 17:53:36] Phil: ok können wir machen
[24.02.25, 20:39:05] Phil: Gib dir mal die Präsi
[24.02.25, 20:39:11] Phil: ist echt nice geworden
‎[24.02.25, 20:42:09] Phil: Scanlytics Partner Präsentation.pdf • ‎11 pages ‎document omitted
[24.02.25, 20:43:25] Emmanuel: Ist es auf docs
[24.02.25, 20:43:35] Emmanuel: Weil braucht echt lange um zu laden
[24.02.25, 20:44:46] Phil: Ne ist auf Pitch.com
[24.02.25, 20:47:29] Emmanuel: Ahh ok
[24.02.25, 20:48:24] Phil: ja und was hälst du von der?
[24.02.25, 20:48:35] Phil: Ich präsentier die ja eh runtergeladen
‎[24.02.25, 20:53:23] Emmanuel: ‎audio omitted
‎[24.02.25, 20:54:06] Emmanuel: ‎audio omitted
‎[24.02.25, 20:54:17] Emmanuel: ‎audio omitted
‎[24.02.25, 20:55:53] Emmanuel: ‎audio omitted
‎[24.02.25, 20:56:11] Emmanuel: ‎audio omitted
‎[24.02.25, 20:57:03] Emmanuel: ‎image omitted
‎[24.02.25, 20:57:04] Emmanuel: ‎image omitted
‎[24.02.25, 20:57:43] Emmanuel: ‎audio omitted
‎[24.02.25, 20:58:40] Emmanuel: ‎audio omitted
[24.02.25, 21:04:22] Phil: ok faur klingt gut
[24.02.25, 21:05:55] Phil: ok auch guter pubkt
[24.02.25, 21:06:18] Phil: Danke 🥰
[24.02.25, 21:07:35] Phil: Geil danke dir für die gute Kritik!!!
‎[24.02.25, 21:08:21] Emmanuel: ‎audio omitted
[24.02.25, 21:18:51] Phil: sehr gut danke
[24.02.25, 21:22:38] Emmanuel: ‎Missed video call. ‎Click to call back
‎[24.02.25, 21:23:06] Emmanuel: ‎audio omitted
‎[24.02.25, 21:41:20] Emmanuel: ‎audio omitted
‎[24.02.25, 21:42:07] Emmanuel: ‎audio omitted
[25.02.25, 14:37:14] Phil: bin im Unterricht
[25.02.25, 14:37:54] Emmanuel: bin fertig
[25.02.25, 14:38:00] Emmanuel: müsste alles jetzt klappen
[25.02.25, 14:38:03] Phil: what crazy
‎[25.02.25, 14:38:17] Emmanuel: ‎video omitted
[25.02.25, 14:38:20] Phil: jo sick ich checks gleich aus
[25.02.25, 14:38:46] Phil: junge sehr nice
[25.02.25, 14:38:58] Phil: Kannst du noch Beispielbilder reinmachen?
[25.02.25, 14:39:07] Phil: Dann wäre alles von deiner Seite aus getan
[25.02.25, 14:39:24] Phil: dann muss ich nur noch Präsi und aus der die Visionpage fertig machen
[25.02.25, 14:39:39] Phil: Was hälst du von der About page?
[25.02.25, 14:39:42] Emmanuel: ich kann mal später schauen so
[25.02.25, 14:39:48] Phil: geht oder sieht kacke aus?
[25.02.25, 14:40:01] Emmanuel: ja geht so ist halt quick und dirty so aber passt
[25.02.25, 14:41:36] Phil: Jo Hauptsache es steht erst mal
[25.02.25, 14:41:45] Phil: Besser geht immer noch
[25.02.25, 14:42:00] Emmanuel: ja safe
[25.02.25, 16:02:34] Emmanuel: Hast du eig mot Dario’s chef geredet
[25.02.25, 16:02:39] Emmanuel: Was hat er gesagt
[25.02.25, 16:40:42] Phil: jo
[25.02.25, 16:41:36] Phil: kann man so abschicken wenns nur vor ihm persönlich ist
‎[25.02.25, 16:41:54] Phil: ‎image omitted
[25.02.25, 16:45:15] Emmanuel: Ok
[25.02.25, 16:45:27] Emmanuel: Wie
[25.02.25, 16:45:45] Emmanuel: Ist das die online Version?
[25.02.25, 17:01:19] Phil: Ja
[25.02.25, 17:02:01] Phil: ‎Voice call. ‎No answer
[25.02.25, 17:15:16] Phil: jo hab einfach diesen HandleCircleBar function raus
[25.02.25, 17:15:24] Phil: da kommen die errrors her glaub ich
[25.02.25, 18:15:12] Phil: Bro wir müssen noch einiges machen damit die Technology wieder funktioniert
[25.02.25, 18:15:41] Phil: 1. Man muss die Texte wieder auswählen können
[25.02.25, 18:17:02] Phil: 2. und wir müssen gucken woher diese Bugs kommen
[25.02.25, 18:17:25] Phil: 3. und wenns zeitlich geht noch auswählbare Beispielbilder
‎[25.02.25, 20:08:29] Phil: ‎image omitted
[25.02.25, 20:28:44] Emmanuel: Uff Film
[25.02.25, 20:29:02] Emmanuel: Bro es hat nicht damit zu tun
[25.02.25, 20:29:25] Phil: aber es geht jetzt wieder
[25.02.25, 20:29:34] Phil: Lass halt mal zusammen coden
[25.02.25, 20:30:01] Emmanuel: Ist jetzt die Circlebar raus oder nicht
[25.02.25, 20:30:11] Phil: ja ist sie
[25.02.25, 20:30:18] Phil: ganz ehrlich
[25.02.25, 20:30:34] Phil: du hast es lieb gemeint aber ungeplant features eingebaut
[25.02.25, 20:30:41] Phil: Obwohl das gar nicht die Aufgabe war
[25.02.25, 20:30:54] Phil: jetzt müssen wir Bugs fixen
[25.02.25, 20:32:37] Emmanuel: Lol
[25.02.25, 20:32:44] Emmanuel: Digga Bro du musst das echt lernen
[25.02.25, 20:33:04] Emmanuel: Weil es hat nicht damit zu tun
[25.02.25, 20:33:17] Emmanuel: Es ist einfach nur ein exportierte Funktion
[25.02.25, 20:33:45] Phil: Ja stimmt
[25.02.25, 20:33:45] Emmanuel: Aber alles gut
[25.02.25, 20:33:55] Emmanuel: Ich implementiere nichts mehr so
[25.02.25, 20:34:10] Phil: Aber in Zukunft müssen wir uns echt nur aufs wesentliche konzentrieren
[25.02.25, 20:34:17] Phil: Sonst frisst das alles so viel Zeit
[25.02.25, 20:35:13] Phil: Bock morgen in der Uni zusammen die Bugs zu fixen und die Seite fertigzustellen? :)
[25.02.25, 20:35:20] Phil: wann kommst du eig wieder?
[25.02.25, 20:35:42] Emmanuel: Bro ich kann leider morgen nicht mehr muss echt viel für die Arbeit machen
[25.02.25, 20:35:50] Emmanuel: Versuch du einfach
[25.02.25, 20:36:04] Emmanuel: Ich kann dir helfen wenn magst
[25.02.25, 20:36:06] Phil: …. dein Ernst
[25.02.25, 20:36:34] Emmanuel: Ja Bro hab jetzt die letzten Tage meine Arbeit gut vernachlässigt
[25.02.25, 20:36:45] Emmanuel: Und muss jetzt echt das liefern
[25.02.25, 20:37:02] Emmanuel: Ich versteh leider auch nicht was du meinst mit bug
[25.02.25, 20:37:02] Phil: ähm ich will am Donnerstag die Seite vorstellen udn die funktioniert jetzr nicht mehr??
[25.02.25, 20:37:13] Phil: und jetzt hörst du einfach auf?
[25.02.25, 20:37:43] Emmanuel: ‎Voice call. ‎Answered on other device
‎[25.02.25, 22:41:21] Emmanuel: ‎image omitted
‎[25.02.25, 22:41:22] Emmanuel: ‎image omitted
[25.02.25, 22:42:00] Emmanuel: Vorallem floy is drinne ‎<This message was edited>
[25.02.25, 22:42:16] Emmanuel: Und muffintech sind code Studenten
[25.02.25, 22:49:02] Phil: Yo true
[25.02.25, 22:49:08] Phil: aber Floy macht echt nicht viel
[25.02.25, 22:56:45] Emmanuel: Schwöre
‎[25.02.25, 22:57:08] Emmanuel: ‎audio omitted
[25.02.25, 22:57:15] Emmanuel: X3
[25.02.25, 22:58:46] Phil: Ja man krieg ich auch schwer in Kopf
[25.02.25, 22:58:56] Phil: aber die haben halt nen simplen Business case
[25.02.25, 22:59:07] Phil: es gibt Patienten die den schrott kaufen
[25.02.25, 22:59:13] Phil: egal obs was bringt oder nicht
[25.02.25, 22:59:15] Emmanuel: By the way wurden meine Notizen eig berücksichtigt die ich erwähnt habe bei der Präsi 😅
[25.02.25, 22:59:32] Phil: und es bringt sogar dem Unternehmen was
[25.02.25, 22:59:38] Phil: ne noch nicht
‎[25.02.25, 22:59:39] Emmanuel: ‎audio omitted
[25.02.25, 22:59:41] Phil: mach ich noch
[25.02.25, 23:00:06] Emmanuel: Dachte du wolltest denen die PowerPoint zwei Tage vorher schicken
[25.02.25, 23:00:22] Phil: Hab ich schon
[25.02.25, 23:00:29] Phil: jo war einfach viel die Tage
[25.02.25, 23:00:38] Phil: manche Sachen gehen unter
[25.02.25, 23:00:55] Phil: Muss an so viele Sachen denken
[25.02.25, 23:01:00] Emmanuel: Hm ok
[25.02.25, 23:01:21] Phil: sorry bro aber ich habs mir angehört
[25.02.25, 23:01:27] Emmanuel: Aber dann heißt es ja die präsi steht schon
[25.02.25, 23:01:39] Phil: ne kann die ja noch bearbeiten
[25.02.25, 23:01:39] Emmanuel: Was meinst du
[25.02.25, 23:01:45] Phil: Deine Kritik
[25.02.25, 23:02:00] Phil: Hab ja die Folie auch noch nachträglich eingefügt
[25.02.25, 23:02:24] Emmanuel: Hmm ok
[25.02.25, 23:02:26] Phil: die hab ich raus
[25.02.25, 23:02:31] Phil: die verwirrt nur
[25.02.25, 23:02:35] Phil: ich mach jetzt noch was
[25.02.25, 23:03:01] Phil: ich hör mir jetzt alles von dir nochmal an und überarbeite nochmal
[25.02.25, 23:03:33] Emmanuel: Verstehe ich nicht
[25.02.25, 23:03:44] Emmanuel: Ich hab doch keine Audio gemacht 😅
[25.02.25, 23:03:45] Phil: Hä was
[25.02.25, 23:04:00] Phil: das hier
[25.02.25, 23:04:15] Phil: doch hier
[25.02.25, 23:04:47] Emmanuel: Ja Bro, aber ich glaub das kommt sehr unprofessional wenn du bei der Präsentation mit eine komplett neuen Folie auftauchst
[25.02.25, 23:04:55] Emmanuel: Glaubst du nicht
[25.02.25, 23:05:16] Emmanuel: Vorallem weil die es ja haben wollten um vorbereitet auf die Präsentation zu sein
[25.02.25, 23:08:12] Phil: das hab ich jetzt mit der neuen Folie
[25.02.25, 23:08:26] Phil: Ich glaub die ist echt gut
[25.02.25, 23:10:06] Phil: Ne ist ok
[25.02.25, 23:10:13] Phil: Wenn ich das erklären kann
[25.02.25, 23:10:24] Phil: Wenn es Sinn macht
[25.02.25, 23:10:29] Emmanuel: Hmm ok
[25.02.25, 23:10:49] Phil: Außerdem ist es nur er
[25.02.25, 23:11:58] Emmanuel: Ja safd
[25.02.25, 23:24:09] Phil: aber welche Notizen meinst du dann?
‎[25.02.25, 23:35:37] Emmanuel: ‎image omitted
[25.02.25, 23:37:06] Emmanuel: Und hatte kurz auf slack was geschrieben, aber irgendwie hat niemand nach 24h darauf reagiert deshalb hab ich es entfernt. War irgendwie der einzige der geschrieben hatte fand ich irgendwie komisch das niemand darauf eingangen  ist ‎<This message was edited>
[25.02.25, 23:43:54] Phil: Jo Julius schreibt Bachelorarbeit (aber finde es auch komisch dass er sich ganz ausklingt)
[25.02.25, 23:44:11] Phil: ich Bin die ganze Zeit am machen da geht manchmal was unter
[25.02.25, 23:44:28] Phil: Und Tobias gehts irgendwie psychisch nicht so gut hat er mir vorhin gesagt
[25.02.25, 23:44:43] Phil: Nimmt Beruhigungstabletten und hat Migräne
[25.02.25, 23:45:00] Emmanuel: Hmm klingt nach last man standing Galla
[25.02.25, 23:45:11] Phil: Aber finds echt nice von dir dass du mir so hilfst
[25.02.25, 23:45:11] Emmanuel: Lol
[25.02.25, 23:45:56] Phil: Hab da mit Julius schon ganz offen drüber gesprochen dass das von ihm gerade so Nino Vibes sind
[25.02.25, 23:46:17] Phil: aber er hat gesagt dass er voll dabei ist aber er halt nur Bachelor sehr ernst nimmt
[25.02.25, 23:46:35] Phil: hat er mir davor aber auch schon gesgat
[25.02.25, 23:46:41] Emmanuel: Ja Safe verständlich bei julius, verstehe ich es
[25.02.25, 23:46:46] Emmanuel: Kein Stress
[25.02.25, 23:46:50] Phil: dafür hat er die Offline App geschrieben und die KI trainiert
[25.02.25, 23:46:56] Phil: und das mit Tobias passiert halt
[25.02.25, 23:47:01] Phil: was soll man machen
[25.02.25, 23:47:04] Phil: der Arme
[25.02.25, 23:47:13] Emmanuel: Ja Safe
[25.02.25, 23:47:27] Emmanuel: Hoffe es geht ihm bald besser
[25.02.25, 23:47:33] Phil: Hoff ich auch
[25.02.25, 23:47:36] Emmanuel: Aber was heißt das
[25.02.25, 23:47:58] Phil: Dass er halt sagen muss wie viel er wirklich schaffen kann und chillen muss
[25.02.25, 23:48:28] Phil: Ich merk schon wie er wirklich was machen will aber sich zu viel Druck macht und dann gar nichts schafft
[25.02.25, 23:48:30] Phil: ich kenn das
[25.02.25, 23:48:34] Phil: ganz gefährlich
[25.02.25, 23:48:40] Phil: Lieber nur eine Aufgabe
[25.02.25, 23:48:54] Phil: zb einfach nur Partner Research
[25.02.25, 23:48:58] Phil: mehr nicht
[25.02.25, 23:49:02] Emmanuel: Hmm
[25.02.25, 23:49:08] Emmanuel: Verstehe
[25.02.25, 23:49:42] Phil: Dann schafft er wenigstens irgendwas
[25.02.25, 23:49:57] Phil: wenn er 5 Aufgaben hat und keine schafft bringt das gar nichts
[25.02.25, 23:50:23] Emmanuel: Klingt zwar hart aber der spaß hat nicht mal begonnen und es scheint als ob wir schon mit den ersten Konflikten konfrontiert sind
[25.02.25, 23:50:32] Phil: Ich glaub das wichtigste ist dass nächste Woche Montag ein Meeting ist und wir richtig anfangen zu planen
[25.02.25, 23:50:46] Phil: Jo manchmal ist es halt so
[25.02.25, 23:51:01] Emmanuel: Geht so
[25.02.25, 23:51:22] Phil: Aber das wirkt nur auf dich so
[25.02.25, 23:51:37] Phil: ich bin doch mit Julius schon seit August dabei
[25.02.25, 23:51:46] Phil: Lief lange Zeit glatt
[25.02.25, 23:51:53] Phil: jetzt sind halt härtere Zeiten
[25.02.25, 23:51:54] Emmanuel: Ja Safe kein Problem
[25.02.25, 23:51:57] Phil: passiert
[25.02.25, 23:51:59] Emmanuel: Ich denke nicht daran
[25.02.25, 23:52:07] Emmanuel: Es ist schon ok wie es gerade ist
[25.02.25, 23:52:13] Emmanuel: Es wird nicht für immer sein
[25.02.25, 23:52:18] Phil: ja eben
[25.02.25, 23:52:24] Phil: Bald kommen wieder gute Zeiten
[25.02.25, 23:52:29] Phil: so wie immer im
Leben
[25.02.25, 23:53:09] Phil: Sobald wir Partner haben gehts wieder aufwärts
[25.02.25, 23:53:09] Emmanuel: Aber trotzdem müssen wir die Züge (Entscheidungen) bedenken♟️
[25.02.25, 23:53:21] Phil: wie meinst du?
[25.02.25, 23:53:41] Emmanuel: Wie tauglich ist Tobias für die Präsentation?
[25.02.25, 23:54:01] Phil: Jo vielleicht geh ich allein hin
[25.02.25, 23:54:04] Phil: oder du kommst mit
[25.02.25, 23:54:07] Emmanuel: Nop
[25.02.25, 23:54:13] Emmanuel: Du kannst nicht alleine hin
[25.02.25, 23:54:19] Phil: aber ist halt wierd wenn ich sag Tobias und dann kommst du
[25.02.25, 23:54:38] Emmanuel: Es ist egal 
Es geht um die Performance
[25.02.25, 23:54:39] Phil: egal scheiß drauf komm mit
[25.02.25, 23:54:44] Phil: du kannst echt gut reden
[25.02.25, 23:54:56] Emmanuel: Wir müssen gut performen und das ist das einzige
[25.02.25, 23:55:05] Emmanuel: Es ist egal wer dabei ist
[25.02.25, 23:55:12] Emmanuel: Wir brauchen die als Partner
[25.02.25, 23:55:13] Phil: Ja true
[25.02.25, 23:55:22] Phil: 100%
[25.02.25, 23:55:27] Phil: wenn das klappt alter
[25.02.25, 23:55:29] Phil: next level
[25.02.25, 23:55:29] Emmanuel: Und wir werden die als Partner bekommen
[25.02.25, 23:55:53] Emmanuel: Aber wir müssen uns jetzt anpassen
[25.02.25, 23:56:23] Phil: Ja man
[25.02.25, 23:56:24] Emmanuel: Und schauen das wir die Präsentation morgen üben
[25.02.25, 23:56:27] Emmanuel: Es muss sitzen
[25.02.25, 23:56:35] Phil: Ja man die muss perfekt sein
[25.02.25, 23:56:40] Phil: Wann bist du morgen Uni?
[25.02.25, 23:56:53] Emmanuel: Nachmittag
[25.02.25, 23:57:07] Emmanuel: Ich gib dir Bescheid lass schauen das wir lange das üben
[25.02.25, 23:57:56] Phil: Ja man
[25.02.25, 23:58:03] Phil: nice freu mich
[26.02.25, 00:00:35] Emmanuel: Wir werden das schon rocken und wir müssen dann schauen was die nächste Züge sind mit Tobias durch seinen momentane Situation
[26.02.25, 00:01:04] Emmanuel: Ich weiß du meinst research aber weist du gerade in welche Direktion
[26.02.25, 00:01:52] Phil: Jo der muss einfach nur Partner suchen
[26.02.25, 00:01:58] Phil: und nicht nur Deutschland
[26.02.25, 00:02:15] Phil: glaube Deutschland ist das schwierigste Land weil die so konservativ sind
[26.02.25, 00:02:34] Emmanuel: Geht so
[26.02.25, 00:02:40] Phil: Nino hatte ein Krankenhaus in Bangladesch oder so
[26.02.25, 00:02:47] Emmanuel: Hahahahah
[26.02.25, 00:02:51] Phil: ich hau den mal an ob der das noch hat
[26.02.25, 00:02:59] Phil: jo Krankenhaus ist Krankenhaus
[26.02.25, 00:03:08] Emmanuel: Geht so
[26.02.25, 00:03:16] Emmanuel: Galla lass dahin wo das Geld ist
[26.02.25, 00:03:21] Phil: Kannst trotzdem eine Software für Ärzte damit baueb
[26.02.25, 00:03:32] Emmanuel: Und die Leute werden kommen
[26.02.25, 00:03:37] Phil: mhh ja true
[26.02.25, 00:04:24] Emmanuel: Ich würd sagen das wir erstmal ne Liste mit allen Radiologien Deutschland haben sollten und dann in nrw und München
[26.02.25, 00:04:43] Emmanuel: Und schauen das wir die Partner suche erweitern
[26.02.25, 00:08:42] Phil: Ja true
[26.02.25, 00:08:52] Phil: Jasper soll die mal schicken
[26.02.25, 00:08:58] Phil: wenn der eh schon das Tool hat
[26.02.25, 00:09:09] Phil: bzw Leonard
[26.02.25, 00:11:59] Emmanuel: Es soll eig nur mit Bezahlung gehen hahah
[26.02.25, 00:12:20] Emmanuel: Aber ich frag ihn mal wenn ich back bin wollte ihn persönlich fragen sonst weird
[26.02.25, 00:12:29] Phil: Ja und digga wir sind Komilitonen alter
[26.02.25, 00:12:44] Phil: Soll mal nicht mit Geld kommen 😂
[26.02.25, 00:13:00] Emmanuel: Lol 😂
‎[26.02.25, 00:13:20] Emmanuel: ‎image omitted
[26.02.25, 00:13:26] Emmanuel: Aber Galla merk dir das
[26.02.25, 00:13:47] Emmanuel: Es ist Zeit etwas stärker zu kämpfen für das wir wollen
[26.02.25, 00:15:32] Emmanuel: Ich versteh dieses follow the flow Dinge und let it happen Motto aber manchmal kann man Nicht einfach gehen 
Manchmal muss man sich zusammenreißen und bold sein und sich sicher sein das dass der richtig weg ist
[26.02.25, 00:16:23] Phil: ja man echt wichtiger punkt
[26.02.25, 00:16:28] Phil: bin zu oft ne Pussy
[26.02.25, 00:16:42] Phil: Ja man
[26.02.25, 00:16:52] Phil: Jetzt oder nie
[26.02.25, 00:21:02] Emmanuel: Swear
[26.02.25, 00:21:34] Emmanuel: Deshalb reiß dich zusammen und vertraue darauf dass sie unsere Partner werden und bete das alles gut läuft
[26.02.25, 00:21:51] Emmanuel: Weil ich bin mir sicher wir gehen in eine gute Richtung
[26.02.25, 00:25:27] Phil: Mach ich
‎[26.02.25, 00:45:01] Phil: ‎video omitted
[26.02.25, 00:50:10] Emmanuel: Ahh ok
[26.02.25, 08:35:44] Emmanuel: Ruf mal wenn du wach bist bitte
‎[26.02.25, 08:53:28] Phil: ‎image omitted
[26.02.25, 08:55:48] Phil: https://app.pitch.com/app/presentation/fe3da8bc-19fd-437e-99d7-2f53e3eee565/dc1314b6-d006-495d-b715-c641bc35b872
[26.02.25, 09:34:05] Emmanuel: Hey kannst du mir dein Profil Bild schicken
[26.02.25, 09:34:44] Phil: https://www.notion.so/Portraits-1a4264124a8d804faeedde3aa3420271?pvs=4
[26.02.25, 09:34:54] Phil: hab die Notion Seite erstellt
[26.02.25, 09:39:13] Emmanuel: Geil
‎[26.02.25, 09:45:34] Emmanuel: ‎image omitted
[26.02.25, 09:45:44] Emmanuel: Fügst du die Information hinzu
[26.02.25, 09:45:47] Emmanuel: es ist online
[26.02.25, 09:45:48] Phil: Alter sick
[26.02.25, 09:45:50] Phil: viel geiler
[26.02.25, 09:45:52] Phil: danke
[26.02.25, 09:45:55] Phil: mach ich gleich
[26.02.25, 09:46:02] Phil: muss erst Laptop reparieren
[26.02.25, 10:44:32] Emmanuel: Hab jetzt auch auf der about Page Impressum und Daten Schutz hinzufügt
[26.02.25, 10:45:04] Emmanuel: Packst du es auszufüllen?
[26.02.25, 10:46:02] Emmanuel: Die Funktionen gehen schon du musst nur den Text einfügen den Rest mache ich
‎[26.02.25, 10:50:44] Emmanuel: ‎image omitted
‎[26.02.25, 10:51:58] Emmanuel: ‎image omitted
[26.02.25, 10:52:13] Emmanuel: Das ist geht mehr in the direction how to
[26.02.25, 11:56:00] Phil: ok true
[26.02.25, 11:56:38] Phil: jo Michael hat gesagt bei dir fashion gmbh raus weil hat nichts mit Thema zu tun und verwirrt nur
[26.02.25, 12:04:52] Emmanuel: ok wird gemacht
[26.02.25, 12:07:30] Phil: Mach ich schon
[26.02.25, 12:08:30] Emmanuel: hab schon
[26.02.25, 12:08:44] Emmanuel: bin noch am pc
[26.02.25, 12:11:52] Emmanuel: am besten wäre wenn wir mit einer neuen branch arbeiten
[26.02.25, 12:12:05] Emmanuel: oder weil sonst gibt es merge konflikts
[26.02.25, 12:12:20] Phil: ah fuck
[26.02.25, 12:12:41] Phil: was hast du geändert?
[26.02.25, 12:12:51] Phil: kann ich mergen oder wirds messy
[26.02.25, 12:13:20] Phil: Ah nur das
[26.02.25, 12:13:35] Phil: ok passt dann merge ich den Rest
[26.02.25, 12:16:20] Emmanuel: lass zwei branches machen
[26.02.25, 12:16:39] Emmanuel: wenn du About bearbeiten möchtest
‎[26.02.25, 12:17:34] Emmanuel: ‎image omitted
[26.02.25, 12:17:51] Phil: nice digga
[26.02.25, 12:17:58] Phil: lass gleich callen
[26.02.25, 12:18:07] Phil: musst du nicht gleich Auto fahren?
[26.02.25, 12:18:11] Phil: oder wie kommst du?
[26.02.25, 12:21:58] Emmanuel: bin gerade im zug
[26.02.25, 12:25:29] Phil: Ah ok
[26.02.25, 12:26:41] Phil: junge endlich sieht das ordentlich aus
[26.02.25, 12:26:45] Phil: https://scanlytics.de/About
[26.02.25, 12:27:42] Emmanuel: schreib mal statt programmer Software Engineer hin
[26.02.25, 12:27:51] Emmanuel: weil das sind zwei verschiede ding
[26.02.25, 12:28:01] Phil: ok
[26.02.25, 12:28:45] Emmanuel: und bei dem gleichen shema bleiben so nach dem Motto Software Engineering(2023-Heute)
[26.02.25, 12:31:02] Phil: Ok
[26.02.25, 12:31:11] Phil: geiles Ladeicon ‎<This message was edited>
[26.02.25, 12:38:02] Phil: Ich check nicht wie ich die Vision machen soll
[26.02.25, 12:39:09] Emmanuel: die frage is eher was ist deine Vision im bezüglich scanlytics? was für eine Welt stellst du dir vor wenn scanlytics erfolgreich wird
[26.02.25, 12:51:33] Phil: also eigentlich dass Menschen in Entwicklungsländern Zugang zu automatisierter Radiologie bekommen
[26.02.25, 12:52:32] Emmanuel: Also weltweit
[26.02.25, 12:52:39] Phil: ja
[26.02.25, 12:55:10] Emmanuel: ok ich wird schaueen das ich es mache
‎[26.02.25, 12:56:40] Phil: ‎image omitted
[26.02.25, 12:56:43] Emmanuel: könntest du mir ein gefallen tun und 5 Assoziierungen finden die das Thema gut verkörpern und bilder die das gut representieren
[26.02.25, 12:57:01] Emmanuel: das ist auch stark
[26.02.25, 12:57:10] Phil: ok ich glaub ich checks
[26.02.25, 12:57:21] Emmanuel: korrekt danke
‎[26.02.25, 13:04:57] Emmanuel: ‎image omitted
[26.02.25, 13:05:25] Emmanuel: es wäre toll wenn du für Pop ein bild mit einem passenden text vorbereiten kannst
[26.02.25, 13:05:40] Phil: Ok mach ich
[26.02.25, 13:06:00] Emmanuel: danke dir!
[26.02.25, 13:09:04] Emmanuel: by the way hab dir die 100 euro zurück geschickt
[26.02.25, 13:09:34] Phil: Jo hab ich gesehen danke
‎[26.02.25, 13:29:06] Emmanuel: ‎audio omitted
‎[26.02.25, 15:11:02] Phil: ‎image omitted
‎[26.02.25, 15:14:22] Phil: ‎image omitted
‎[26.02.25, 15:31:20] Phil: ‎image omitted
[26.02.25, 16:03:20] Phil: musst dich mit discord anmelden
[26.02.25, 16:03:25] Phil: duwv+FCdLbZt3umC
[26.02.25, 16:03:29] Phil: p.gallaschik@gmail.com
[26.02.25, 16:03:36] Phil: bei midjourney.com
[26.02.25, 16:27:25] Emmanuel: hey bro kannst du nur noch die text einfühlen hab gerade echt viele merge konflikts
[26.02.25, 16:33:54] Emmanuel: Und images anpassen
[26.02.25, 16:41:49] Phil: mach ich
